n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,比較対象
9,5,0,0,0,0.5,0,0.5,21,0.8981,-0.06667,0.4667,2355,2564,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_家庭・趣味,ベースライン値
3,3,21,21,17,24,19,23,4.5,1,0,0.5,,,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMoCA-J,ベースライン値
3,11,24,25,22,24,22,28,8,0.2253,-0.5152,0.2424,40,59,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE合計,ベースライン値
3,11,5,4,3,5,2,5,20.5,0.6593,0.2424,0.6212,179,265,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_時間見当識,ベースライン値
3,11,4,5,3,5,4,5,10.5,0.456,-0.3636,0.3182,80,118,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_場所見当識,ベースライン値
3,11,3,3,2,3,2,3,12.5,0.6593,-0.2424,0.3788,179,265,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_記銘,ベースライン値
3,11,4,5,1,4,3,5,7,0.1703,-0.5758,0.2121,32,47,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_注意計算,ベースライン値
3,11,0,0,0,1,0,3,14,0.7692,-0.1515,0.4242,456,677,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_遅延再生,ベースライン値
3,11,1,1,1,1,0,1,19.5,0.7692,0.1818,0.5909,317,471,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_復唱,ベースライン値
3,11,3,3,3,3,2,3,18,0.8846,0.09091,0.5455,1267,1881,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_3段階命令,ベースライン値
3,11,1,1,1,1,0,1,18,0.8846,0.09091,0.5455,1267,1881,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_図形模写,ベースライン値
3,11,1,1.5,0.5,2,1,2.5,9,0.2912,-0.4545,0.2727,51,76,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR-SB,ベースライン値
3,11,0,0.5,0,0.5,0,0.5,13,0.6593,-0.2121,0.3939,233,346,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_見当識,ベースライン値
3,11,0.5,0.5,0,0.5,0,0.5,12.5,0.6593,-0.2424,0.3788,179,265,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_判断力・問題解決,ベースライン値
3,11,0,0,0,0.5,0,0.5,14.5,0.8846,-0.1212,0.4394,713,1058,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_地域社会の活動,ベースライン値
3,11,0,0,0,0,0,0.5,9,0.2912,-0.4545,0.2727,51,76,,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_家庭・趣味,ベースライン値
3,3,21,21,19,23,17,24,4.5,1,0,0.5,,,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMoCA-J,ベースライン値
4,10,24,24.5,22,28,22,28,19,0.9451,-0.05,0.475,4187,5128,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE合計,ベースライン値
4,10,2.5,5,2,5,3,5,8.5,0.1419,-0.575,0.2125,32,39,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_時間見当識,ベースライン値
4,10,4.5,4.5,4,5,3,5,21,0.9451,0.05,0.525,4187,5128,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_場所見当識,ベースライン値
4,10,3,3,3,3,2,3,24,0.6354,0.2,0.6,262,321,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_記銘,ベースライン値
4,10,5,4,3,5,1,5,26,0.4535,0.3,0.65,117,143,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_注意計算,ベースライン値
4,10,1,0,0,1,0,3,27.5,0.3736,0.375,0.6875,75,92,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_遅延再生,ベースライン値
4,10,1,1,1,1,0,1,24,0.6354,0.2,0.6,262,321,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_復唱,ベースライン値
4,10,3,3,3,3,2,3,22,0.8392,0.1,0.55,1047,1282,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_3段階命令,ベースライン値
4,10,1,1,0,1,1,1,15,0.5395,-0.25,0.375,168,206,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_図形模写,ベースライン値
4,10,1.75,1.5,1,2.5,0.5,2.5,24.5,0.6354,0.225,0.6125,207,254,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR-SB,ベースライン値
4,10,0.5,0,0,0.5,0,0.5,27,0.3736,0.35,0.675,86,105,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_見当識,ベースライン値
4,10,0.5,0.5,0,0.5,0,0.5,17,0.7333,-0.15,0.425,466,570,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_判断力・問題解決,ベースライン値
4,10,0.25,0,0,0.5,0,0.5,22,0.8392,0.1,0.55,1047,1282,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_地域社会の活動,ベースライン値
4,10,0.25,0,0,0.5,0,0.5,24,0.6354,0.2,0.6,262,321,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_家庭・趣味,ベースライン値
1,5,17,21,17,17,19,24,0,0.3333,-1,0,11,19,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMoCA-J,ベースライン値
1,13,22,25,22,22,22,28,1,0.2857,-0.8462,0.07692,15,56,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE合計,ベースライン値
1,13,3,5,3,3,2,5,3.5,0.7143,-0.4615,0.2692,50,186,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_時間見当識,ベースライン値
1,13,3,5,3,3,4,5,0,0.1429,-1,0,11,40,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_場所見当識,ベースライン値
1,13,3,3,3,3,2,3,7.5,1,0.1538,0.5769,443,1667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_記銘,ベースライン値
1,13,4,5,4,4,1,5,5,0.8571,-0.2308,0.3846,197,741,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_注意計算,ベースライン値
1,13,0,0,0,0,0,3,3.5,0.7143,-0.4615,0.2692,50,186,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_遅延再生,ベースライン値
1,13,1,1,1,1,0,1,7.5,1,0.1538,0.5769,443,1667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_復唱,ベースライン値
1,13,3,3,3,3,2,3,7,1,0.07692,0.5385,1769,6667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_3段階命令,ベースライン値
1,13,1,1,1,1,0,1,7,1,0.07692,0.5385,1769,6667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_図形模写,ベースライン値
1,13,2,1.5,2,2,0.5,2.5,9.5,0.7143,0.4615,0.7308,50,186,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR-SB,ベースライン値
1,13,0.5,0,0.5,0.5,0,0.5,10,0.5714,0.5385,0.7692,37,137,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_見当識,ベースライン値
1,13,0.5,0.5,0.5,0.5,0,0.5,7.5,1,0.1538,0.5769,443,1667,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_判断力・問題解決,ベースライン値
1,13,0.5,0,0.5,0.5,0,0.5,10.5,0.5714,0.6154,0.8077,28,105,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_地域社会の活動,ベースライン値
1,13,0,0,0,0,0,0.5,4,0.7143,-0.3846,0.3077,71,267,到達可能な最小p=0.143（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_家庭・趣味,ベースライン値
1,5,19,21,19,19,17,24,1,0.6667,-0.6,0.2,30,53,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMoCA-J,ベースライン値
6,8,24.5,24.5,22,28,22,28,21.5,0.8518,-0.1042,0.4479,965,985,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE合計,ベースライン値
6,8,3.5,5,3,5,2,5,21.5,0.8518,-0.1042,0.4479,965,985,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_時間見当識,ベースライン値
6,8,4,5,3,5,4,5,15.5,0.345,-0.3542,0.3229,84,86,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_場所見当識,ベースライン値
6,8,3,3,2,3,2,3,23,0.9497,-0.04167,0.4792,6028,6154,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_記銘,ベースライン値
6,8,4,5,3,5,1,5,19,0.5728,-0.2083,0.3958,242,247,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_注意計算,ベースライン値
6,8,0,0.5,0,3,0,1,22,0.8518,-0.08333,0.4583,1507,1539,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_遅延再生,ベースライン値
6,8,1,1,0,1,0,1,23,0.9497,-0.04167,0.4792,6028,6154,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_復唱,ベースライン値
6,8,3,3,3,3,2,3,27,0.7546,0.125,0.5625,670,684,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_3段階命令,ベースライン値
6,8,1,1,1,1,0,1,27,0.7546,0.125,0.5625,670,684,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_図形模写,ベースライン値
6,8,1.75,1.25,1,2.5,0.5,2.5,31,0.4136,0.2917,0.6458,124,126,,NPI第9項目（易怒性）,B_最終なし,ΔCDR-SB,ベースライン値
6,8,0.5,0,0,0.5,0,0.5,31,0.4136,0.2917,0.6458,124,126,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_見当識,ベースライン値
6,8,0.5,0.5,0.5,0.5,0,0.5,30,0.4908,0.25,0.625,168,171,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_判断力・問題解決,ベースライン値
6,8,0.25,0,0,0.5,0,0.5,27,0.7546,0.125,0.5625,670,684,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_地域社会の活動,ベースライン値
6,8,0,0,0,0.5,0,0.5,23,0.9497,-0.04167,0.4792,6028,6154,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_家庭・趣味,ベースライン値
3,3,21,21,19,23,17,24,4.5,1,0,0.5,,,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第9項目（易怒性）,B_最終なし,ΔMoCA-J,ベースライン値
6,8,24.5,24.5,22,27,22,28,22,0.8518,-0.08333,0.4583,1507,1539,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE合計,ベースライン値
6,8,4,4.5,2,5,3,5,19.5,0.662,-0.1875,0.4062,298,304,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_時間見当識,ベースライン値
6,8,4.5,4.5,4,5,3,5,25.5,0.9497,0.0625,0.5312,2680,2735,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_場所見当識,ベースライン値
6,8,3,3,3,3,2,3,30,0.4908,0.25,0.625,168,171,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_記銘,ベースライン値
6,8,5,4,1,5,3,5,27,0.7546,0.125,0.5625,670,684,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_注意計算,ベースライン値
6,8,0.5,0,0,1,0,3,25.5,0.9497,0.0625,0.5312,2680,2735,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_遅延再生,ベースライン値
6,8,1,1,1,1,0,1,30,0.4908,0.25,0.625,168,171,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_復唱,ベースライン値
6,8,3,3,2,3,3,3,20,0.662,-0.1667,0.4167,377,385,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_3段階命令,ベースライン値
6,8,1,1,0,1,1,1,20,0.662,-0.1667,0.4167,377,385,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_図形模写,ベースライン値
6,8,1.25,1.75,0.5,2.5,1,2.5,18,0.4908,-0.25,0.375,168,171,,NPI第9項目（易怒性）,C_新規出現,ΔCDR-SB,ベースライン値
6,8,0.25,0.25,0,0.5,0,0.5,24,1,0,0.5,,,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_見当識,ベースライン値
6,8,0.5,0.5,0,0.5,0,0.5,23,0.9497,-0.04167,0.4792,6028,6154,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_判断力・問題解決,ベースライン値
6,8,0,0.25,0,0.5,0,0.5,20,0.662,-0.1667,0.4167,377,385,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_地域社会の活動,ベースライン値
6,8,0,0.25,0,0.5,0,0.5,16,0.345,-0.3333,0.3333,95,97,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_家庭・趣味,ベースライン値
3,3,21,21,17,24,19,23,4.5,1,0,0.5,,,到達可能な最小p=0.100（この配分では有意になりえない）,NPI第9項目（易怒性）,C_新規出現,ΔMoCA-J,ベースライン値
3,11,24,25,22,28,22,28,15.5,1,-0.06061,0.4697,2850,4231,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE合計,ベースライン値
3,11,5,4,3,5,2,5,20.5,0.6593,0.2424,0.6212,179,265,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_時間見当識,ベースライン値
3,11,5,4,3,5,4,5,17,1,0.0303,0.5152,11397,16923,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_場所見当識,ベースライン値
3,11,3,3,2,3,2,3,12.5,0.6593,-0.2424,0.3788,179,265,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_記銘,ベースライン値
3,11,4,5,4,5,1,5,17,1,0.0303,0.5152,11397,16923,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_注意計算,ベースライン値
3,11,0,0,0,1,0,3,14,0.7692,-0.1515,0.4242,456,677,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_遅延再生,ベースライン値
3,11,1,1,0,1,0,1,12.5,0.6593,-0.2424,0.3788,179,265,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_復唱,ベースライン値
3,11,3,3,3,3,2,3,18,0.8846,0.09091,0.5455,1267,1881,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_3段階命令,ベースライン値
3,11,1,1,1,1,0,1,18,0.8846,0.09091,0.5455,1267,1881,,NPI第9項目（易怒性）,D_BLあり,ΔMMSE_図形模写,ベースライン値
3,11,2,1.5,1,2,0.5,2.5,18.5,0.8846,0.1212,0.5606,713,1058,,NPI第9項目（易怒性）,D_BLあり,ΔCDR-SB,ベースライン値
3,11,0,0.5,0,0.5,0,0.5,13,0.6593,-0.2121,0.3939,233,346,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_見当識,ベースライン値
3,11,0.5,0.5,0,0.5,0,0.5,12.5,0.6593,-0.2424,0.3788,179,265,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_判断力・問題解決,ベースライン値
3,11,0.5,0,0,0.5,0,0.5,21.5,0.5549,0.303,0.6515,114,170,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_地域社会の活動,ベースライン値
3,11,0.5,0,0,0.5,0,0.5,23,0.3681,0.3939,0.697,68,101,,NPI第9項目（易怒性）,D_BLあり,ΔCDR_家庭・趣味,ベースライン値
1,5,19,21,19,19,17,24,1,0.6667,-0.6,0.2,30,53,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第9項目（易怒性）,D_BLあり,ΔMoCA-J,ベースライン値
